runtime,engine,profile,scenario,status,request_ttfa_ms,request_total_ms,request_rtf,generate_ttfa_ms,generate_total_ms,generation_rtf,request_prompt_prep_ms,cached_prompt_build_ms,model_load_ms,warmup_ms,audio_duration_s,peak_vram_mb,sample_rate,backend,mode,streaming_support,true_streaming,scenario_word_count,scenario_description,sample_folder,sample_file,optimizations_applied,optimization_notes,streaming_error
windows_native,xtts,baseline,short_reply,measured,584.9,5906.8,0.586,544.2,5866.0,0.582,40.8,,15416.2,3195.2,10.08,2112.3,24000,native_stream,streaming,native,True,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,xtts__baseline__short_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,
windows_native,xtts,baseline,medium_reply,measured,540.4,9078.5,0.591,508.3,9046.5,0.589,32.0,,15416.2,3195.2,15.371,2282.9,24000,native_stream,streaming,native,True,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,xtts__baseline__medium_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,
windows_native,xtts,baseline,long_reply,measured,32058.2,32058.2,0.491,32025.7,32025.7,0.49,32.5,,15416.2,3195.2,65.295,2061.8,24000,native_stream,non_streaming_fallback,native_fallback,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,xtts__baseline__long_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,"Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 516, in synthesize
    for chunk in xtts_model.inference_stream(
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\torch\utils\_contextlib.py"", line 36, in generator_context
    response = gen.send(None)
               ^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\TTS\tts\models\xtts.py"", line 625, in inference_stream
    assert text_tokens.shape[-1] < self.args.gpt_max_text_tokens, (
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError:  ❗ XTTS can only generate text with a maximum of 400 tokens.
"
windows_native,xtts,optimized,short_reply,measured,497.5,4271.4,0.558,497.5,4271.4,0.558,0.0,28.7,15416.2,3195.2,7.659,2056.4,24000,native_stream,streaming,native,True,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,xtts__optimized__short_reply.wav,conditioning_cache,Conditioning latents cached once per session and reused across replies.,
windows_native,xtts,optimized,medium_reply,measured,455.6,9694.4,0.591,455.6,9694.4,0.591,0.0,28.7,15416.2,3195.2,16.395,2303.2,24000,native_stream,streaming,native,True,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,xtts__optimized__medium_reply.wav,conditioning_cache,Conditioning latents cached once per session and reused across replies.,
windows_native,xtts,optimized,long_reply,measured,30467.0,30467.0,0.497,30467.0,30467.0,0.497,0.0,28.7,15416.2,3195.2,61.349,2046.0,24000,native_stream,non_streaming_fallback,native_fallback,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,xtts__optimized__long_reply.wav,conditioning_cache,Conditioning latents cached once per session and reused across replies.,"Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 516, in synthesize
    for chunk in xtts_model.inference_stream(
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\torch\utils\_contextlib.py"", line 36, in generator_context
    response = gen.send(None)
               ^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\TTS\tts\models\xtts.py"", line 625, in inference_stream
    assert text_tokens.shape[-1] < self.args.gpt_max_text_tokens, (
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError:  ❗ XTTS can only generate text with a maximum of 400 tokens.
"
windows_native,luxtts,baseline,short_reply,measured,999.1,999.1,0.235,987.3,987.3,0.233,11.8,,16897.2,5132.5,4.245,901.6,48000,zipvoice_pytorch,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,luxtts__baseline__short_reply.wav,,Warm model only. Each request re-encodes the reference prompt before generation.,
windows_native,luxtts,baseline,medium_reply,measured,549.9,549.9,0.047,541.6,541.6,0.046,8.3,,16897.2,5132.5,11.765,992.5,48000,zipvoice_pytorch,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,luxtts__baseline__medium_reply.wav,,Warm model only. Each request re-encodes the reference prompt before generation.,
windows_native,luxtts,baseline,long_reply,measured,1728.9,1728.9,0.04,1718.4,1718.4,0.04,10.5,,16897.2,5132.5,43.296,2121.9,48000,zipvoice_pytorch,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,luxtts__baseline__long_reply.wav,,Warm model only. Each request re-encodes the reference prompt before generation.,
windows_native,luxtts,optimized,short_reply,measured,352.6,352.6,0.083,352.6,352.6,0.083,0.0,9.4,16897.2,5132.5,4.245,886.4,48000,zipvoice_pytorch,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,luxtts__optimized__short_reply.wav,prompt_cache,Prompt cache reused across replies. Generation settings stay on the official 4-step efficient path.,
windows_native,luxtts,optimized,medium_reply,measured,508.3,508.3,0.043,508.3,508.3,0.043,0.0,9.4,16897.2,5132.5,11.765,994.8,48000,zipvoice_pytorch,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,luxtts__optimized__medium_reply.wav,prompt_cache,Prompt cache reused across replies. Generation settings stay on the official 4-step efficient path.,
windows_native,luxtts,optimized,long_reply,measured,1678.6,1678.6,0.039,1678.6,1678.6,0.039,0.0,9.4,16897.2,5132.5,43.296,2121.5,48000,zipvoice_pytorch,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,luxtts__optimized__long_reply.wav,prompt_cache,Prompt cache reused across replies. Generation settings stay on the official 4-step efficient path.,
windows_native,chatterbox_turbo,baseline,short_reply,measured,2981.9,2981.9,0.521,2852.8,2852.8,0.499,129.1,,27035.0,3892.0,5.72,4840.9,24000,turbo_native,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,chatterbox_turbo__baseline__short_reply.wav,,Warm model only. Each request recomputes Chatterbox Turbo conditionals from the reference clip.,
windows_native,chatterbox_turbo,baseline,medium_reply,measured,7651.3,7651.3,0.497,7526.5,7526.5,0.489,124.8,,27035.0,3892.0,15.4,4913.7,24000,turbo_native,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,chatterbox_turbo__baseline__medium_reply.wav,,Warm model only. Each request recomputes Chatterbox Turbo conditionals from the reference clip.,
windows_native,chatterbox_turbo,baseline,long_reply,measured,19061.0,19061.0,0.498,18932.3,18932.3,0.495,128.7,,27035.0,3892.0,38.28,5834.9,24000,turbo_native,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,chatterbox_turbo__baseline__long_reply.wav,,Warm model only. Each request recomputes Chatterbox Turbo conditionals from the reference clip.,
windows_native,chatterbox_turbo,optimized,short_reply,measured,2787.4,2787.4,0.505,2787.4,2787.4,0.505,0.0,112.8,27035.0,3892.0,5.52,4683.1,24000,turbo_native,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,chatterbox_turbo__optimized__short_reply.wav,conditioning_cache,Prepared speaker conditionals cached once per session and reused across replies.,
windows_native,chatterbox_turbo,optimized,medium_reply,measured,7012.2,7012.2,0.482,7012.2,7012.2,0.482,0.0,112.8,27035.0,3892.0,14.56,4888.9,24000,turbo_native,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,chatterbox_turbo__optimized__medium_reply.wav,conditioning_cache,Prepared speaker conditionals cached once per session and reused across replies.,
windows_native,chatterbox_turbo,optimized,long_reply,measured,18653.6,18653.6,0.488,18653.6,18653.6,0.488,0.0,112.8,27035.0,3892.0,38.2,5838.5,24000,turbo_native,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,chatterbox_turbo__optimized__long_reply.wav,conditioning_cache,Prepared speaker conditionals cached once per session and reused across replies.,
windows_native,tada_1b,baseline,short_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,18,One concise assistant reply.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,baseline,medium_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,41,A practical multi-sentence assistant answer.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,baseline,long_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,162,Long-form assistant narration from the Phase 0 fixture.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,optimized,short_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,18,One concise assistant reply.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,optimized,medium_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,41,A practical multi-sentence assistant answer.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,optimized,long_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,162,Long-form assistant narration from the Phase 0 fixture.,,,,Engine run failed before producing measurements.,
windows_native,qwen3,baseline,short_reply,measured,16980.1,16980.1,2.793,16908.7,16908.7,2.781,71.4,,6203.8,7771.9,6.08,2627.1,24000,eager,simulated_streaming_text,simulated,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__baseline__short_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
windows_native,qwen3,baseline,medium_reply,measured,46935.8,46935.8,2.742,46871.4,46871.4,2.738,64.4,,6203.8,7771.9,17.12,2820.0,24000,eager,simulated_streaming_text,simulated,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__baseline__medium_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
windows_native,qwen3,baseline,long_reply,measured,157911.2,157911.2,2.734,157821.1,157821.1,2.732,90.0,,6203.8,7771.9,57.76,2880.5,24000,eager,simulated_streaming_text,simulated,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__baseline__long_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
windows_native,qwen3,optimized,short_reply,measured,16317.4,16317.4,2.756,16317.4,16317.4,2.756,0.0,78.5,3524.6,5096.8,5.92,2621.9,24000,eager,simulated_streaming_text,simulated,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__optimized__short_reply.wav,prompt_cache,"Voice clone prompt cached once per session. Requested flash_attention_2 but fell back to eager (Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 1008, in load_model
    model = Qwen3TTSModel.from_pretrained(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\qwen_tts\inference\qwen3_tts_model.py"", line 112, in from_pretrained
    model = AutoModel.from_pretrained(pretrai).",
windows_native,qwen3,optimized,medium_reply,measured,47060.4,47060.4,2.723,47060.4,47060.4,2.723,0.0,78.5,3524.6,5096.8,17.28,2820.7,24000,eager,simulated_streaming_text,simulated,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__optimized__medium_reply.wav,prompt_cache,"Voice clone prompt cached once per session. Requested flash_attention_2 but fell back to eager (Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 1008, in load_model
    model = Qwen3TTSModel.from_pretrained(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\qwen_tts\inference\qwen3_tts_model.py"", line 112, in from_pretrained
    model = AutoModel.from_pretrained(pretrai).",
windows_native,qwen3,optimized,long_reply,measured,145258.5,145258.5,2.747,145258.5,145258.5,2.747,0.0,78.5,3524.6,5096.8,52.88,2881.4,24000,eager,simulated_streaming_text,simulated,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__optimized__long_reply.wav,prompt_cache,"Voice clone prompt cached once per session. Requested flash_attention_2 but fell back to eager (Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 1008, in load_model
    model = Qwen3TTSModel.from_pretrained(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\qwen_tts\inference\qwen3_tts_model.py"", line 112, in from_pretrained
    model = AutoModel.from_pretrained(pretrai).",
wsl_python,xtts,baseline,short_reply,measured,568.9,4412.4,0.546,451.5,4295.0,0.532,117.4,,15087.4,2914.0,8.075,2047.5,24000,native_stream,streaming,native,True,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__baseline__short_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,
wsl_python,xtts,baseline,medium_reply,measured,596.2,11046.2,0.61,410.2,10860.1,0.6,186.1,,15087.4,2914.0,18.112,2342.0,24000,native_stream,streaming,native,True,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__baseline__medium_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,
wsl_python,xtts,baseline,long_reply,measured,28832.9,28832.9,0.445,28699.3,28699.3,0.443,133.6,,15087.4,2914.0,64.794,2071.7,24000,native_stream,non_streaming_fallback,native_fallback,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__baseline__long_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,"Traceback (most recent call last):
  File ""/mnt/c/Users/rayme-ssh.OMEN-PC/phase0-probes/tts_scenario_matrix.py"", line 516, in synthesize
    for chunk in xtts_model.inference_stream(
  File ""/home/pmpg/rayme/.venv-cu121/lib/python3.10/site-packages/torch/utils/_contextlib.py"", line 36, in generator_context
    response = gen.send(None)
  File ""/home/pmpg/rayme/.venv-cu121/lib/python3.10/site-packages/TTS/tts/models/xtts.py"", line 625, in inference_stream
    assert text_tokens.shape[-1] < self.args.gpt_max_text_tokens, (
AssertionError:  ❗ XTTS can only generate text with a maximum of 400 tokens.
"
wsl_python,xtts,optimized,short_reply,measured,379.6,4314.4,0.499,379.6,4314.4,0.499,0.0,66.7,15087.4,2914.0,8.64,2071.7,24000,native_stream,streaming,native,True,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__optimized__short_reply.wav,conditioning_cache,Conditioning latents cached once per session and reused across replies.,
